station_id,datefield,hour,temperature,dew_point,humidity,wind_dir,wind_speed,wind_gust,pressure,visibility
EGLC,20140109,4,12,7.5,73.97,230,31.484,64.82,999.997,3.858273
EGLC,20140109,5,11,6,71.26,230,27.78,50.004,999.997,3.858273
EGLC,20140109,6,11,7,76.34,235,36.114,61.116,999.489,3.858273
EGLC,20140109,7,10.5,7,78.97,250,31.484,51.856,1000.505,3.858273
EGLC,20140109,8,10,6,76.18,255,32.41,53.708,1001.013,3.858273
EGLC,20140109,9,10,5,71.07,260,37.04,38.892,1002.536,3.858273
EGLC,20140109,10,8.5,3.5,70.92,280,33.336,35.188,1004.568,3.858273
EGLC,20140109,11,8.5,2,63.67,280,35.188,37.04,1005.076,3.858273
EGLC,20140109,12,9,3,66.05,285,32.41,51.856,1006.092,3.858273
EGLC,20140109,13,9,3,66.05,275,30.558,33.336,1006.6,3.858273
EGLC,20140109,14,9,2.5,63.78,260,31.484,31.484,1007.616,3.858273
EGLC,20140109,15,9,2,61.52,260,24.076,25.928,1008.632,3.858273
EGLC,20140109,16,8.5,2,63.67,255,23.15,24.076,1009.14,3.858273
EGLC,20140109,17,8,2,65.83,245,21.298,22.224,1010.156,3.858273
EGLC,20140109,18,7.5,2,68.16,250,24.076,25.928,1010.494,3.858273
EGLC,20140109,19,7,2.5,73.08,245,19.446,20.372,1010.833,3.858273
EGLC,20140109,20,7,3,75.67,245,19.446,20.372,1011.849,3.858273
EGLC,20140109,21,6,3,81.07,255,18.52,18.52,1012.357,3.858273
EGLC,20140109,22,6.5,3,78.37,250,20.372,20.372,1012.865,3.858273
EGLC,20140109,23,6,3,81.07,245,22.224,22.224,1012.865,3.858273
EGLC,20140110,0,5.5,3,83.98,250,20.372,20.372,1012.865,3.858273
EGLC,20140110,1,6,3,81.07,250,16.668,16.668,1013.881,3.858273
EGLC,20140110,2,5,2.5,83.91,240,13.89,14.816,1013.881,3.858273
EGLC,20140110,3,5,3,86.89,245,15.742,16.668,1013.881,3.858273
EGLC,20140110,4,5,2.5,83.91,250,16.668,16.668,1013.881,3.858273
EGLC,20140110,5,5,2.5,83.91,250,12.964,12.964,1013.881,3.858273
EGLC,20140110,6,5,2.5,83.91,245,12.964,12.964,1013.881,3.858273
EGLC,20140110,7,5,2,80.93,225,8.334,9.26,1014.897,3.858273
EGLC,20140110,8,5,2,80.93,225,9.26,9.26,1014.897,3.858273
EGLC,20140110,9,6.5,3,78.37,230,12.964,12.964,1014.897,3.858273
EGLC,20140110,10,8.5,4,73.36,235,14.816,18.52,1014.897,3.858273
EGLC,20140110,11,9,5,76.01,225,19.446,20.372,1014.389,3.858273
EGLC,20140110,12,10.5,5,68.78,225,19.446,20.372,1013.881,3.858273
EGLC,20140110,13,11,5,66.48,220,20.372,22.224,1013.881,3.858273
EGLC,20140110,14,10.5,5,68.78,220,14.816,16.668,1012.865,3.858273
EGLC,20140110,15,10,5,71.07,220,12.964,14.816,1013.881,3.858273
EGLC,20140110,16,10,6,76.18,205,14.816,16.668,1013.881,3.858273
EGLC,20140110,17,10,6,76.18,210,14.816,14.816,1013.881,3.858273
EGLC,20140110,18,9,6,81.47,215,17.594,18.52,1013.881,3.858273
EGLC,20140110,19,9,6,81.47,220,16.668,16.668,1013.881,3.858273
EGLC,20140110,20,9,6,81.47,210,14.816,14.816,1013.373,3.858273
EGLC,20140110,21,9,7,87.28,210,16.668,18.52,1012.865,3.858273
