hierarchy_id,child_id,parent_id
201,E01003902,E02000798
201,E01003903,E02000798
201,E01003901,E02000798
201,E01003906,E02000793
201,E01003908,E02000793
201,E01003907,E02000793
201,E01003905,E02000793
201,E01003910,E02000794
201,E01003909,E02000793
201,E01003914,E02000830
201,E01003913,E02000830
201,E01003915,E02000830
201,E01003916,E02000826
201,E01003917,E02000826
201,E01003912,E02000825
201,E01003911,E02000826
201,E01003923,E02000823
201,E01003926,E02000827
201,E01003919,E02000827
201,E01003920,E02000827
201,E01003924,E02000827
201,E01003925,E02000826
201,E01003918,E02000826
201,E01003921,E02000827
201,E01003922,E02000827
201,E01003933,E02006802
201,E01003932,E02006802
201,E01003934,E02000808
201,E01003929,E02000808
201,E01003935,E02000808
201,E01003927,E02000808
201,E01032583,E02006802
201,E01003930,E02006802
201,E01032584,E02006802
201,E01003941,E02000812
201,E01003937,E02000815
201,E01003938,E02000812
201,E01003936,E02000815
201,E01003942,E02000812
201,E01003940,E02000812
201,E01003943,E02000815
201,E01032720,E02000815
201,E01003939,E02000808
201,E01003949,E02000838
201,E01003945,E02000839
201,E01003946,E02000839
201,E01003948,E02000839
201,E01003950,E02000838
201,E01003951,E02000839
201,E01003947,E02000839
201,E01003956,E02000836
201,E01003957,E02000838
201,E01003952,E02000836
201,E01003958,E02000838
201,E01003953,E02000834
201,E01003954,E02000836
201,E01003955,E02000834
201,E01003960,E02000818
201,E01003964,E02000821
201,E01003963,E02000822
201,E01003966,E02000821
201,E01032722,E02000818
201,E01003961,E02000818
201,E01003971,E02000821
201,E01003969,E02000823
201,E01003973,E02000822
201,E01003974,E02000821
201,E01003972,E02000822
201,E01003968,E02000821
201,E01003970,E02000822
201,E01003967,E02000822
201,E01003981,E02000812
201,E01032803,E02000809
201,E01003976,E02000809
201,E01003978,E02000810
201,E01003979,E02000812
201,E01003977,E02000816
201,E01003980,E02000819
201,E01032646,E02000809
201,E01003975,E02000810
201,E01003988,E02000824
201,E01003984,E02000829
201,E01032805,E02000828
201,E01003987,E02000817
201,E01003986,E02000817
201,E01003989,E02000824
201,E01003990,E02000824
201,E01003983,E02000824
201,E01003991,E02000823
201,E01003992,E02000820
201,E01003993,E02000823
201,E01032639,E02000820
201,E01003994,E02000818
201,E01003995,E02000820
201,E01003998,E02000820
201,E01003999,E02000820
201,E01003997,E02000823
201,E01032719,E02000820
201,E01004001,E02000832
201,E01004003,E02000829
201,E01004004,E02000829
201,E01004006,E02000829
201,E01004002,E02000835
201,E01004005,E02000829
201,E01004000,E02000832
201,E01004008,E02000828
201,E01004010,E02000828
201,E01004014,E02000825
201,E01004007,E02000824
201,E01004011,E02000825
201,E01004013,E02000825
201,E01004012,E02000825
201,E01004019,E02000832
201,E01004016,E02000835
201,E01004015,E02000834
201,E01004021,E02000834
201,E01004017,E02000835
201,E01004018,E02000838
201,E01004020,E02000835
201,E01004024,E02000817
201,E01004022,E02000810
201,E01004027,E02000809
201,E01004023,E02000810
201,E01032834,E02000809
201,E01032640,E02000809
201,E01032637,E02000809
201,E01032638,E02000809
201,E01004028,E02000810
201,E01004030,E02000813
201,E01004034,E02000813
201,E01004031,E02000813
201,E01004035,E02000817
201,E01004032,E02000807
201,E01004029,E02000807
201,E01004033,E02000813
201,E01004036,E02000813
201,E01004042,E02000816
201,E01004043,E02000816
201,E01004037,E02000816
201,E01004039,E02000819
201,E01004038,E02000816
201,E01004041,E02000819
201,E01004040,E02000819
201,E01004044,E02000819
201,E01004048,E02000833
201,E01004052,E02000830
201,E01004050,E02000830
201,E01004051,E02000833
201,E01004045,E02000833
201,E01004046,E02000834
201,E01004049,E02000833
201,E01004047,E02000833
201,E01004058,E02000814
201,E01004054,E02000807
201,E01004055,E02000807
201,E01004053,E02000807
201,E01004057,E02000814
201,E01004059,E02000814
201,E01004060,E02000814
201,E01004056,E02000814
201,E01004063,E02000831
201,E01004061,E02000831
201,E01004068,E02000832
201,E01004062,E02000831
201,E01004065,E02000831
201,E01004064,E02000832
201,E01004066,E02000831
201,E01004067,E02000828
201,E01004069,E02000837
201,E01004075,E02000837
201,E01004071,E02000836
201,E01004070,E02000837
201,E01004073,E02000837
201,E01004072,E02000836
201,E01004074,E02000837
201,E01004081,E02000850
201,E01004082,E02000850
201,E01004079,E02000850
201,E01004076,E02000850
201,E01004078,E02000850
201,E01004077,E02000850
201,E01004080,E02000850
201,E01004084,E02000863
